doc_id,text,author
1,"Many years had elapsed during which nothing of Combray, except what lay in the theatre and the drama of my going to bed there, had any existence for me, when one day in winter, on my return home, my mother, seeing that I was cold, offered me some tea, a thing I did not ordinarily take. I declined at first, and then, for no particular reason, changed my mind. She sent for one of those squat, plump little cakes called ""petites madeleines,"" which look as though they had been moulded in the fluted valve of a scallop shell. And soon, mechanically, dispirited after a dreary day with the prospect of a depressing morrow, I raised to my lips a spoonful of the tea in which I had soaked a morsel of the cake. No sooner had the warm liquid mixed with the crumbs touched my palate than a shiver ran through me and I stopped, intent upon the extraordinary thing that was happening to me. An exquisite pleasure had invaded my senses, something isolated, detached, with no suggestion of its origin. And at once the vicissitudes of life had become indifferent to me, its disasters innocuous, its brevity illusory -- this new sensation having had the effect, which love has, of filling me with a precious essence; or rather this essence was not in me, it was me. I had ceased now to feel mediocre, contingent, mortal. Whence could it have come to me, this all-powerful joy? I sensed that it was connected with the taste of the tea and the cake, but that it infinitely transcended those savours, could not, indeed, be of the same nature. Where did it come from? What did it mean? How could I seize and apprehend it?",proust
2,"I drink a second mouthful, in which I find nothing more than in the first, then a third, which gives me rather less than the second. It is time to stop; the potion is losing its virtue. It is plain that the truth I am seeking lies not in the cup but in myself. The drink has called it into being, but does not know it, and can only repeat indefinitely, with a progressive diminution of strength, the same message which I cannot interpret, though I hope at least to be able to call it forth again and to find it there presently, intact and at my disposal, for my final enlightenment. I put down the cup and examine my own mind. It alone can discover the truth. But how? What an abyss of uncertainty, whenever the mind feels overtaken by itself; when it, the seeker, is at the same time the dark region through which it must go seeking and where all its equipment will avail it nothing. Seek? More than that: create. It is face to face with something which does not yet exist, which it alone can make actual, which it alone can bring into the light of day.",proust
3,"And I begin again to ask myself what it could have been, this unremembered state which brought with it no logical proof, but the indisputable evidence, of its felicity, its reality, and in whose presence other states of consciousness melted and vanished. I want to try to make it reappear. I retrace my thoughts to the moment at which I drank the first spoonful of tea. I rediscover the same state, illuminated by no fresh light. I ask my mind to make one further effort, to bring back once more the fleeting sensation. And so that nothing may interrupt it in its course I shut out every obstacle, every extraneous idea, I stop my ears and screen my attention from the sounds from the next room. And then, feeling that my mind is tiring itself without having any success to report, I compel it for a change to enjoy the distraction which I have just denied it, to think of other things, to rest and refresh itself before making a final effort. And then for the second time I clear an empty space in front of it; I place in position before my mind's eye the still recent taste of that first mouthful, and I feel something start within me, something that leaves its resting-place and attempts to rise, something that has been anchored at a great depth; I do not know yet what it is, but I can feel it mounting slowly; I can measure the resistance, I can hear the echo of great spaces traversed.",proust
4,"Undoubtedly what is thus palpitating in the depths of my being must be the image, the visual memory which, being linked to that taste, is trying to follow it into my conscious mind. But its struggles are too far off, too confused and chaotic; scarcely can I perceive the neutral glow into which the elusive whirling medley of stirred-up colours is fused, and I cannot distinguish its form, cannot invite it, as the one possible interpreter, to translate for me the evidence of its contemporary, its inseparable paramour, the taste, cannot ask it to inform me what special circumstance is in question, from what period in my past life.",proust
5,"Will it ultimately reach the clear surface of my consciousness, this memory, this old, dead moment which the magnetism of an identical moment has travelled so far to importune, to disturb, to raise up out of the very depths of my being? I cannot tell. Now I feel nothing; it has stopped, has perhaps sunk back into its darkness, from which who can say whether it will ever rise again? Ten times over I must essay the task, must lean down over the abyss. And each time the cowardice that deters us from every difficult task, every important enterprise, has urged me to leave the thing alone, to drink my tea and to think merely of the worries of today and my hopes for tomorrow, which can be brooded over painlessly.",proust
6,"And suddenly the memory revealed itself. The taste was that of the little piece of madeleine which on Sunday mornings at Combray (because on those mornings I did not go out before mass), when I went to say good morning to her in her bedroom, my aunt Leonie used to give me, dipping it first in her own cup of tea or tisane. The sight of the little madeleine had recalled nothing to my mind before I tasted it; perhaps because I had so often seen such things in the meantime, without tasting them, on the trays in pastry-cooks' windows, that their image had dissociated itself from those Combray days to take its place among others more recent; perhaps because, of those memories so long abandoned and put out of mind, nothing now survived, everything was scattered; the shapes of things, including that of the little scallop-shell of pastry, so richly sensual under its severe, religious folds, were either obliterated or had been so long dormant as to have lost the power of expansion which would have allowed them to resume their place in my consciousness. But when from a long-distant past nothing subsists, after the people are dead, after the things are broken and scattered, taste and smell alone, more fragile but more enduring, more immaterial, more persistent, more faithful, remain poised a long time, like souls, remembering, waiting, hoping, amid the ruins of all the rest; and bear unflinchingly, in the tiny and almost impalpable drop of their essence, the vast structure of recollection.",proust
7,"And as soon as I had recognised the taste of the piece of madeleine soaked in her decoction of lime-blossom which my aunt used to give me (although I did not yet know and must long postpone the discovery of why this memory made me so happy) immediately the old grey house upon the street, where her room was, rose up like a stage set to attach itself to the little pavilion opening on to the garden which had been built out behind it for my parents (the isolated segment which until that moment had been all that I could see); and with the house the town, from morning to night and in all weathers, the Square where I used to be sent before lunch, the streets along which I used to run errands, the country roads we took when it was fine. And as in the game wherein the Japanese amuse themselves by filling a porcelain bowl with water and steeping in it little pieces of paper which until then are without character or form, but, the moment they become wet, stretch and twist and take on colour and distinctive shape, become flowers or houses or people, solid and recognisable, so in that moment all the flowers in our garden and in M. Swann's park, and the waterlilies on the Vivonne and the good folk of the village and their little dwellings and the parish church and the whole of Combray and its surroundings, taking shape and solidity, sprang into being, town and gardens alike, from my cup of tea.",proust
8,"Combray at a distance, from a twenty-mile radius, as we used to see it from the railway when we arrived there in the week before Easter, was no more than a church epitomising the town, representing it, speaking of it and for it to the horizon, and as one drew near, gathering close about its long, dark cloak, sheltering from the wind, on the open plain, as a shepherdess gathers her sheep, the woolly grey backs of its huddled houses, which the remains of its mediaeval ramparts enclosed, here and there, in an outline as scrupulously circular as that of a little town in a primitive painting. To live in, Combray was a trifle depressing, like its streets, whose houses, built of the blackened stone of the country, fronted with outside steps, capped with gables which projected long shadows downwards, were so dark that as soon as the sun began to go down one had to draw back the curtains in the sittingroom windows; streets with the solemn names of saints, not a few of whom figured in the history of the early lords of Combray, such as the Rue Saint-Hilaire, the Rue Saint-Jacques, in which my aunt's house stood, the Rue Sainte-Hildegarde, which ran past her railings, and the Rue du Saint-Esprit, on to which the little garden gate opened; and these Combray streets exist in so remote a corner of my memory, painted in colours so different from those in which the world is decked for me today, that in fact one and all of them, and the church which towered above them in the Square, seem to me now more unreal than the projections of my magic lantern; and at times I feel that to be able to cross the Rue Saint-Hilaire again, to engage a room in the Rue de l'Oiseau, in the old hostelry of the Oiseau Flesche, from whose basement windows used to rise a smell of cooking which rises still in my mind, now and then, in the same warm and intermittent gusts, would be to secure a contact with the Beyond more marvellously supernatural than it would be to make Golo's acquaintance and to chat with Geneviève de Brabant.",proust
9,"My grandfather's cousin -- by courtesy my great-aunt -- with whom we used to stay, was the mother of that aunt Leonie who, since her husband's (my uncle Octave's) death, had gradually declined to leave, first Combray, then her house in Combray, then her bedroom, and finally her bed, and now never ""came down,"" but lay perpetually in a vague state of grief, physical debility, illness, obsession and piety. Her private apartment looked out over the Rue Saint-Jacques, which ran a long way further to end in the Grand-Pre (as distinct from the Petit-Pre, a green space in the centre of the town where three streets met) and which, monotonous and grey, with the three high sandstone steps before almost every one of its doors, seemed like a deep furrow carved by some sculptor of Gothic images out of the block of stone from which he might have fashioned a calvary or a crib. My aunt's life was now practically confined to two adjoining rooms, in one of which she would spend the afternoon while the other was being aired. They were rooms of that country order which -- just as in certain climes whole tracts of air or ocean are illuminated or scented by myriads of protozoa which we cannot see -- enchants us with the countless odours emanating from the virtues, wisdom, habits, a whole secret system of life, invisible, superabundant and profoundly moral, which their atmosphere holds in solution; smells natural enough indeed, and weather- tinted like those of the neighbouring countryside, but already humanised, domesticated, snug, an exquisite, limpid jelly skilfully blended from all the fruits of the year which have left the orchard for the store-room, smells changing with the season, but plenishing and homely, offsetting the sharpness of hoarfrost with the sweetness of warm bread, smells lazy and punctual as a village clock, roving and settled, heedless and provident, linen smells, morning smells, pious smells, rejoicing in a peace which brings only additional anxiety, and in a prosaicness which serves as a deep reservoir of poetry to the stranger who passes through their midst without having lived among them. The air of those rooms was saturated with the fine bouquet of a silence so nourishing, so succulent, that I never went into them without a sort of greedy anticipation, particularly on those first mornings, chilly still, of the Easter holidays, when I could taste it more fully because I had only just arrived in Combray: before I went in to say good morning to my aunt I would be kept waiting a moment in the outer room where the sun, wintry still, had crept in to warm itself before the fire, which was already alight between its two bricks and plastering the whole room with a smell of soot, turning it into one of those great rustic open hearths, or one of those canopied mantelpieces in country houses, beneath which one sits hoping that in the world outside it is raining or snowing, hoping almost for a catastrophic deluge to add the romance of being in winter quarters to the comfort of a snug retreat; I would pace to and fro between the priedieu and the stamped velvet armchairs, each one always draped in its crocheted antimacassar, while the fire, baking like dough the appetising smells with which the air of the room was thickly clotted and which the moist and sunny freshness of the morning had already ""raised"" and started to ""set,"" puffed them and glazed them and fluted them and swelled them into an invisible though not impalpable country pie, an immense ""turnover"" to which, barely waiting to savour the crisper, more delicate, more reputable but also drier aromas of the cupboard, the chest of drawers and the patterned wall-paper, I always returned with an unconfessed gluttony to wallow in the central, glutinous, insipid, indigestible and fruity smell of the flowered bedspread.",proust
10,"In the next room I could hear my aunt talking quietly to herself. She never spoke except in low tones, because she believed that there was something broken inside her head and floating loose there, which she might displace by talking too loud; but she never remained for long, even when alone, without saying something, because she believed that it was good for her throat, and that by keeping the blood there in circulation it would make less frequent the chokings and the pains from which she suffered; besides, in the life of complete inertia which she led, she attached to the least of her sensations an extraordinary importance, endowed them with a Protean ubiquity which made it difficult for her to keep them to herself, and, failing a confidant to whom she might communicate them, she used to promulgate them to herself in an unceasing monologue which was her sole form of activity. Unfortunately, having formed the habit of thinking aloud, she did not always take care to see that there was no one in the adjoining room, and I would often hear her saying to herself: ""I must not forget that I never slept a wink""--for ""never sleeping a wink"" was her great claim to distinction, and one admitted and respected in our household vocabulary: in the morning Françoise would not ""wake"" her, but would simply ""go in"" to her; during the day, when my aunt wished to take a nap, we used to say just that she wished to ""ponder"" or to ""rest""; and when in conversation she so far forgot herself as to say ""what woke me up,"" or ""I dreamed that,"" she would blush and at once correct herself.",proust
